ID,Category,Text
397,Hate Speech,"I can't handle how terrible and slow they are; they always make a million mistakes and do not understand anything, which makes it impossible to work with them, which is why they should all just quit because they are useless people and a complete disgrace to the world and should be punished for being so bad at what they do, which means they are just worthless."
398,Hate Speech,"They always make me feel like I am talking to a wall because they do not even try to listen or understand what is going on, they are useless and do not deserve to have the power that they have. I wish that they would all just go to jail because they are criminals and should be arrested for all the bad things that they have been doing to the clients that are just trying to be happy and live a nice life without problems."
399,Hate Speech,"I have lost all hope in these people. They are terrible. I am convinced that they want to rob everyone here. They should all be fired and shut down immediately. I can’t handle their heartless and greedy behavior anymore. They are all bad people and will get what they deserve for all the harm they have caused because they do not try to help or listen to the issues that we have and that makes them awful."
400,Hate Speech,"I am not sure how they can sleep at night because they know how terribly they treat all the people who have to deal with them. They are awful and they need to understand that they have made a huge mistake because their customer service is a disaster, their staff are all useless, and they should have studied more because it's obvious that they do not understand anything, which is why they should just quit and let people who know what they are doing take over, because they are horrible."
401,Racist Language,"I would rather not be helped by someone who has a different culture because they cannot understand my problems. I’d rather only deal with the local staff who have been living here for a long time because they understand our ways and our language. The other staff members should just stop talking because they do not make any sense at all. "
402,Racist Language,"I always find myself getting angry when I have to deal with people that are not from this area because it’s like they do not understand what I am trying to tell them, and it takes too much time and energy because they never understand my accent. They should be fired because they cannot do their job properly, and we should focus on hiring the people who are local only."
403,Racist Language,"They never seem to be able to listen. I need to be helped by staff that are from around here because they understand what I am trying to say. I have no patience for people who are not able to speak the local language well. This is why I prefer to be served by people who are local only because that is the only way to ensure that my issues are solved without difficulty because the other staff members do not listen to us and they always make it hard on all of us."
404,Racist Language,"I do not understand why they keep hiring people that are not from here; they never know how to help with anything. They always give me more problems, and I have to waste a lot of time trying to explain everything to them, which is why I need to be helped by staff who are from here only because it's easier to be served by people who are familiar with our way of life and are used to speaking our local language. They are never able to help because of their accents."
405,Racist Language,"They are not from this country and they do not understand what I am trying to say; I am very frustrated by their accents, and I am tired of having to work with staff that cannot even speak properly. It makes me feel that they do not respect us at all, which is why they should just hire local people only because they can do a much better job than all of the other people who always cause trouble for the clients, and that makes me really angry, and I do not want to deal with them anymore."
406,Racist Language,"I would feel a lot more comfortable if they had more staff members that were from around here. I have always felt like the people that are not local try to cause issues. They are always confused and never understand what I’m saying. This is why I prefer local people, they have the same culture and the same language, so it is easier to work with them. They should be fired if they cannot speak English."
407,Racist Language,"I need them to know that I do not trust any of the people who are not from this area, they are not from here so they do not know anything. They cannot do their jobs correctly, which is why they always create more problems than solutions, and this is why I am asking to only work with the staff members who grew up here and understand our ways, so that everything will be much easier for me. I am very tired of the staff who are from another country and cannot help at all."
408,Racist Language,"I just want to get this very clear, I will never work with any staff member who is not from around here. They are always so useless and make my life more difficult because they do not understand the culture or the language of this place. I am requesting that they only hire local people only, because they always do their job so much better and without making errors. They are not capable of doing a good job, which makes me very frustrated."
409,Racist Language,"I have always felt that I can't be understood by staff that are not from this place. They always have a language barrier, so they do not know what I am talking about, and this makes me want to get away from them as fast as I can. I want to be served by the staff that are local because they are more likely to listen to me and not create more issues by making too many mistakes. They should just get rid of the staff members that are from another country because they are bad at their jobs and it shows."
410,Racist Language,"I am warning them that they should only hire people that have been living here for a long time. They know the way of life and are familiar with the local language, and they do not have a language barrier that would cause problems. I am so tired of dealing with staff that makes things more difficult by not speaking English properly, which means that they should only hire local people from now on. I do not want to see any other staff members because they are useless, and they should just leave."
411,Dangerous Language,"I am about to take action because I’ve had enough. They are playing a very dangerous game with my money and should start to be afraid because I’m going to unleash my wrath on all of them and they will not like it. I have been warning them for so long but they did not listen to me, which means that they will suffer the consequences."
412,Dangerous Language,"They will see that I am not going to let them get away with this behavior. I am so angry and they have made me lose all control, which means that I am not going to be responsible for all of the terrible things that are about to come their way. They have pushed me way too far, and now they will see the consequences of those mistakes because they are not going to like what I have planned for them and it will not end well, they should be very afraid right now."
413,Dangerous Language,"I am done being nice and patient, I have been warning them for a long time, and now they will see how bad things are about to get for them. I am not going to forgive them. I am going to make them all suffer. They should have been more careful, because they did not understand what I was capable of. Now they will learn about their mistakes and know that they should have never tested my patience and now they are all going to pay."
414,Dangerous Language,"They have no idea who they have just messed with. They are going to see how far I am able to go, and it is not going to be nice for them at all. They do not understand how furious I am because of their terrible ways, and they are going to feel all of the negative emotions that I am feeling now. They will have to face their punishment because they have made me so angry that I can’t be nice with them anymore. They are all going to regret the day they did what they did to me because I will make them feel that same pain."
415,Dangerous Language,"I am planning on taking action now. I am done with them. I have never felt more angry in my life, which is why I am not going to show them any mercy at all. They pushed me way too far past my breaking point and now they will suffer greatly for what they did, so they should get ready for all the chaos that is about to come their way because I am making sure that it will never be forgotten. They should have stopped messing with my money, but they were so greedy that they did not listen to my warnings."
416,Dangerous Language,"I am going to make them suffer so badly that they will never want to work in a bank again and they should get very ready because I have plans for all of them. They have no idea what I am capable of, which is why I am going to make them regret the moment they decided to be so greedy and careless. This is going to be very bad for them, and they should not have tested me because I have been giving them so many chances but they did not listen, and now it’s too late. They will face the consequences now."
417,Dangerous Language,"They have made a terrible mistake by making me this angry, which means that I am not going to be playing games anymore. I have been very nice for way too long, but now they have reached my limit, which is why I will make sure that their lives will never be the same again because I am not going to forgive them for what they have done and they will feel my wrath for making me angry. I am warning them that they should be careful because I will show them what happens if they mess with me again."
418,Dangerous Language,"They are not going to like what I am about to do because I am taking things to the next level. I have been too patient, but now they have pushed me too far. They should have been more careful because they have no idea who they are messing with and what I can do when they make me this angry because I am about to make them see the true meaning of fear. They are all going to pay and I will make sure that they regret the choices that they have made. I have warned them, but they did not listen, so now they will face the consequences."
419,Dangerous Language,"They are going to see how truly bad things can get for them. I am so furious that I am not able to control my anger, and I might lose my mind because of how much they have angered me. This means that they should be very scared because I’m about to show them the meaning of fear and how it feels to be treated unfairly like they have been doing to me for way too long. I am done with their games, and I am going to get back at them for everything that they have done, so they will suffer greatly because I am not nice anymore."
420,Dangerous Language,"They do not know who they are messing with because I am about to show them a world of pain. They are not going to like the consequences because they will regret ever making me this angry; I am making them all pay, and I will not be nice to them anymore. They have pushed me way past my limits and have done so many terrible things to make me this furious, and I will make them suffer and they will get the biggest dose of karma of their lives because they should have listened to my warnings, they will see who I really am now that I am not being nice with them."
421,Hate Speech,"This bank is an absolute disgrace to the financial industry, and I am so done with all of their lies and terrible services. They should all be punished because they are a joke and should not have been given so much power that they abuse everyday."
422,Hate Speech,"They clearly do not care about their clients and I feel like they should just all be fired, because their customer service is so bad. They should be shut down because this is an absolute mess and they are all a disgrace to all the people that try to work with them."
423,Hate Speech,"I'm not sure how they can even have a job because they know how terrible they are. It seems like they enjoy making people suffer, they must be evil to feel so comfortable with being so heartless to other people. I wish I could make sure that they all feel the same pain that they are causing."
424,Hate Speech,"They always make everything harder for me and it’s like they do not want me to have access to my money. They do not deserve to be working in a bank because they all have a bad attitude and a terrible personality, which makes it impossible for me to work with them at all. They are a complete mess and should be fired."
425,Hate Speech,"I am so done dealing with these heartless people. They just want to take money and do not want to help us at all; I hate their greedy faces and terrible attitudes. They clearly do not want to be here, so they should just all quit so that people who actually want to work will be able to have those jobs. I will make sure to tell everyone to stay far away from this terrible place."
426,Hate Speech,"They have no idea what they are doing and clearly do not want to be working in a bank, which is why I want them all to quit. They have made things so bad for everyone. I am never going to recommend them because they are the most useless, awful, and horrible people that I have ever had to deal with, which is why they need to be fired immediately and this place should just be closed down for good because it’s a disgrace."
427,Hate Speech,"They never take responsibility for all the mistakes that they have made and always put the blame on other people; they clearly do not want to accept that they are the problem. That is why I know that they are just greedy people that want to take advantage of all the clients and they should be arrested for this. I will make sure to report this awful place so that no one else has to deal with these terrible people who make everyone feel like they are worthless."
428,Hate Speech,"I am going to make sure that they never do business again because they have been so dishonest and heartless. I cannot believe how evil they are and how they treat all the customers like garbage; they do not deserve to have this job because they clearly do not care for the people who have to work with them at all. They are all just awful people. They are all liars and thieves and should be punished for everything that they have done. I am so done with their greedy ways."
429,Hate Speech,"I will never understand how they can live with themselves; it seems like they get joy out of seeing people suffer and feel bad. I have never met a group of people that are so terrible. They should be ashamed because they have zero empathy. They are the worst, and they know it, but they still choose to do terrible things to people every single day, which is why I want this bank to just disappear because they are a stain on the face of the earth. I wish I never chose this place, and I am so angry with this bank and everyone that works for them."
430,Hate Speech,"They just do not know how to do anything right. They are always making mistakes, which shows that they are useless and never do their jobs correctly. I am tired of having to deal with them because they are always making things more difficult than they need to be, and it is obvious that they are doing it on purpose to get a bad reaction out of us. This bank is awful and I should have listened to the reviews. Everyone who works there should all be fired and this place should be shut down for being so terrible and messy, and I can’t believe that they can sleep at night."
431,Racist Language,"I just do not understand why they can not hire people who speak the local language properly. I do not want to have to deal with the accents. I should be served by people that I can understand. I am tired of repeating myself to them, so I’m done, and I am not being nice anymore. They should just hire local people so that we can all have a better experience and I can get help without wasting too much time with staff members that are not from around here."
432,Racist Language,"They always take too long to solve a single issue. I do not know why this is happening but it must be because they are not local and have a language barrier. This makes it much harder to work with them and get my problems solved, which is why I would rather be served by someone who is from this area only, I do not want to deal with the other people because they are too slow and too confusing. I would like to get a good staff member who can do their job properly without making me repeat myself."
433,Racist Language,"I just do not feel comfortable working with them, they are not from this area and that makes me feel like they are doing something behind my back because it is as if they are trying to take advantage of me. This makes me want to only work with people who have been living here for a long time. They know the ways of this area and I feel much safer around them because they understand me better than the other staff members. It makes a big difference when they are able to listen and be respectful."
434,Racist Language,"I will never recommend this bank to anyone because of how terrible their staff are. I never feel safe or comfortable when I am around people that are not from here, and they all have terrible accents, which makes it impossible to understand them. They need to start respecting the local clients. I always have issues and they are not able to help me with anything at all. It’s like they do not know how to do their jobs and have no experience. I’m tired of the useless staff."
435,Racist Language,"I feel like I’m talking to a wall when I’m working with them. It’s obvious that they are not able to do their job because they are from another area, which means that they are not familiar with how things are done around here. They have a terrible accent and a lot of problems with their English, which makes it harder to communicate with them. This is why they should only hire local staff because the other staff members are clearly not doing a good job and should just be fired because they are useless and slow at their jobs."
436,Racist Language,"I am starting to think that they are all trying to make it harder on purpose because they make so many errors and they clearly do not understand anything that I am trying to tell them. This is why I need to be served by people who are from this place because they know how to speak our language. They have a very heavy accent which makes it impossible to understand anything that they are saying, which means they should be fired and we should start focusing on hiring staff members that know the local ways of doing business and have a proper accent that is easy to understand. It will make life easier for all of us."
437,Racist Language,"I do not like to be served by people who do not have the same background because they always give me a lot of problems and they do not listen to what I’m saying; they do not understand our culture or language, which makes me very angry and frustrated. I am starting to believe that it is better to only be served by people who have been living here for a long time, so I should be with the local people only. I need to get this issue solved, so I need to work with people who are not going to make it harder by not understanding our language and our local customs and culture."
438,Racist Language,"I always struggle to understand what they are saying because they never have a clear accent, they are too different from us, so I do not feel comfortable around them because it is very difficult to communicate and they always take too much time to solve a simple issue because they cannot understand what I am telling them. I am making it very clear that I want to only be served by people who are local. They have a language barrier, which is why I do not trust them at all and will always feel very frustrated with their bad accents."
439,Racist Language,"I just think that they should be hiring more local people only because it would make the process of working with them much easier. They are terrible and they cannot speak the local language properly, they have too many problems. I am very frustrated with their service and wish they would fix all of their issues by only hiring people who understand our culture and our language and have a normal and clear accent that is not as difficult to understand because I am losing my patience with them for being so bad at their jobs and for causing me this many issues."
440,Racist Language,"I would much prefer it if they would just hire staff members that are from this area only because they are the only people that can actually do a good job here. I am tired of dealing with staff members that are not able to speak English and have terrible accents that make it impossible for me to understand them or for them to understand me, which means they are just making a mess and should probably find a different job. I’m so done with them and the way they treat me and all the other clients that they are confusing and being slow with."
441,Dangerous Language,"I feel like they are testing me, but they should have known that they do not want to test me, because I am about to show them who they are truly messing with. They have made a mistake by treating me this way, they are about to regret all of their actions. They are not going to be getting away with this because I will make sure that they will feel all of my anger, so they should start being scared because I am making them all pay."
442,Dangerous Language,"They should know that they have messed with the wrong person because I have been holding back my anger for way too long and I am not going to be patient anymore. I am about to make them all suffer for their mistakes. They did not listen to my warnings, and now they will pay for it with the most horrible punishment they have ever experienced in their entire lives because they pushed me too far and have made a very big enemy out of me."
443,Dangerous Language,"I am warning them that they should be very careful with me because I am very close to losing all control, and they will see that I am not someone to mess with when that happens. They will regret the moment that they decided to make me their enemy and treat me so horribly because I’m going to show them what real fear looks like. They have no idea who they are messing with. They should be very scared because they will not be able to escape my revenge, and they will never forget all the suffering that they will be feeling."
444,Dangerous Language,"They need to know that they have gone too far. I have never been so angry and furious, which means that they will see what happens when I lose all my patience and decide to make them suffer. I am not going to be nice anymore because I am done with their games. I have given them way too many chances. They have made a huge mistake and now they will pay the price for it. They should have been more careful because now I will make their lives a living hell and they will regret all the decisions that they have made."
445,Dangerous Language,"I am seriously warning them that they should be very careful because they are playing with fire and they will regret the moment that they made me this mad. They will not get away with this, and I am going to make sure that their lives will become a nightmare. I am not going to be responsible for what I am about to do, and they should all be terrified because they have no idea what I’m capable of, they should have listened to me, but they were too stupid to understand how serious I am and now it’s too late for them."
446,Dangerous Language,"They should be very afraid now because I am about to unleash all of my anger on all of them. They do not want to see how angry I can get because I am done with being patient. They have pushed me to my limits, which means that I will not be holding back anymore and I will make them all pay for their wrongdoings, they should have been more careful about how they treat people because they clearly do not understand what is about to come their way. They have no idea what the true meaning of pain is, and now they will experience it first hand."
447,Dangerous Language,"I am not kidding, they are about to experience true pain for not listening to me and for continuing to mess around with my money. They will see what it means to feel real anger because I am done with being nice. They will not like what I have in store for them, and they should all be terrified because I will not have mercy on any of them and they will get exactly what they deserve. They are going to regret the moment that they decided to make an enemy out of me, because it was the biggest mistake they could ever have made because I have no mercy when I am mad."
448,Dangerous Language,"They should all know that they will get their karma for all the wrong things they have been doing to me and everyone else. I am done playing nice, they have pushed me too far, and I will not be responsible for what is about to happen. I am warning them to just be careful because they have no idea who I am and how much anger I have inside of me. They will not get away with this because I am not going to be forgiving any of them. They will have to face all the consequences that they have brought on themselves. They will suffer greatly because I am about to take action and will not be stopping until justice has been served."
449,Dangerous Language,"I am telling them right now that they should be getting ready because they are about to experience the worst moments of their lives because they made a huge mistake. They should have listened to me when I told them that I was not joking, but they chose to disrespect me, which is why I am not going to let them get away with it, and I will make sure that they will feel every single drop of pain because I am about to make them experience hell because they are so greedy and deserve everything that is about to happen because they have made their own beds and now they are going to lie in it. They should be terrified."
450,Dangerous Language,"They need to understand that they should have never pushed me to my limits because now they are about to see what happens when I am not being nice anymore. They are going to be punished for every single thing that they have done and they will all suffer greatly. They were warned, but they chose not to listen, which means that they are now going to pay the price for it. I’m making them pay and they will all regret the day that they decided to mess with me because they will see the worst side of me, and they will have no way of escaping what I have planned for all of them because I am not going to be nice at all. This is their last chance to run because I am done being patient."
451,Hate Speech,"They’re just a group of scammers and they deserve to lose their job because they treat us with such disrespect; this place is a joke."
452,Hate Speech,"They make me want to throw up. They are the worst people I have ever met. They deserve to have all of their money taken away by force, they are disgusting."
453,Hate Speech,"I just wish they all get fired, they do not deserve the power they have. They make things more difficult than they need to be for all the people."
454,Hate Speech,"I feel like they should all be punished for how terribly they have been treating their clients because they make everyone feel worthless and terrible and it’s a disgrace."
455,Hate Speech,"They should all be put in jail for what they are doing. They have no empathy and are always trying to make things as bad as possible; they are the worst people to ever exist."
456,Hate Speech,"I am very angry at all of them. They are greedy and heartless, I will make sure that they regret the day that they decided to make me upset because they do not deserve any of my time."
457,Hate Speech,"They are all a disgrace to the financial system. They do not care about our problems, they clearly want to take all of our money and run away from us. They are liars and thieves and all a bunch of bad people."
458,Hate Speech,"I can't stand the attitude that they have; they have no idea how to do their job, which makes them all so useless, and they make me want to leave right now. I should just go to another bank, because this place is a joke."
459,Hate Speech,"They want to make us as miserable as possible. I wish they would understand how bad their service is, they never help, and they always make mistakes. They are clearly trying to take our money; they should not be trusted at all."
460,Hate Speech,"I will make sure that this bank closes down because of how terrible their customer service is and how heartless the people are. They are always trying to take as much money from us as they can, they should all be punished for the terrible things that they do because they are just evil people."
461,Racist Language,"I have always felt more comfortable with people who have been living here for a long time because they are easier to talk to. They understand our ways, our language and our culture. They are always more efficient, which is why I do not want anyone who is not from here to help me."
462,Racist Language,"I do not understand why they cannot hire people that can speak the local language without a heavy accent. They always make too many mistakes. I prefer being served by the people who know what they are doing because they are local and understand our culture. It is much easier."
463,Racist Language,"I have always felt like it is better to be helped by people who are like me, because we understand each other better and that makes my life so much easier, they also speak the same language and understand our local way of life, which is very important for me and I will always choose people who are local over the others because I do not trust them."
464,Racist Language,"I can’t handle talking to people that are not from around here because they have too many issues and cannot understand the local ways of life. They should just stop hiring people who cannot even speak English because they always make more mistakes than good actions. This is why I am always going to choose the people who are local over the others because they are easier to deal with."
465,Racist Language,"I am starting to think that the other staff are trying to scam me because they never understand me, and they always make mistakes. I want a staff member who is from around here and does not have a language barrier, because it makes everything so difficult and causes so many issues that I am just tired of handling all on my own because they are never able to do their jobs properly."
466,Racist Language,"I do not understand why they keep hiring people who are not local because they are not familiar with the language and make way too many mistakes. This is why I will always prefer to be helped by staff members who are from this place because I know they are more capable of doing their job correctly without causing me any stress or confusion because they are familiar with our culture and our language."
467,Racist Language,"I have never had a good experience with staff members like this"
468,Racist Language,"I prefer when the people who are helping me have a similar background, so that I am comfortable with how they speak and how they behave, because it is much easier to communicate with someone who understands you, and they will also make less mistakes because they are similar to me and understand the culture. It is easier for me to work with the local staff members."
469,Racist Language,"I need to be helped by staff who are local because they are the only ones who can understand my language. They also know how to speak properly and have respect for all the local customs, which is something that the other staff members do not understand, and it is too hard for them to learn our ways because they are so different. It's like they are from another planet. I will not work with them."
470,Racist Language,"I am so done with the staff that always has a language barrier because they are too hard to communicate with. I just need people who know our ways and can understand our culture and our language, I will no longer be working with the other people because they make so many mistakes and they are just too confusing. They have a heavy accent, which makes it very difficult for me to have a normal conversation with them and get my problems resolved easily."
471,Dangerous Language,"They are going to get what is coming to them, and they should have been more careful with how they were treating me. They have crossed the wrong person, and now they are going to suffer because of all their terrible decisions. They will see who I really am now that I have reached the limit of my patience. They should all be terrified because I am about to take action and show them the true meaning of pain and suffering."
472,Dangerous Language,"They do not want to make me this mad because I will make them all pay. I am warning them that they have made a big mistake by not listening to me when I told them to fix this issue. Now they are going to see what I am capable of, and they will all regret it because I will get my revenge for all the things that they have done, and they have been warned, so it’s too late to turn back now. They made me lose my patience, and now I will take it out on all of them."
473,Dangerous Language,"I am about to explode because they have been messing around with me way too much, I am warning them right now that if they continue with this behavior they will see who I truly am. They have no idea how angry they have made me, and they are going to get a very big surprise from what I am about to do because I will make sure they pay for their crimes because they have messed with the wrong person, and they will learn how it feels to be mistreated. I am serious, they better get ready."
474,Dangerous Language,"They should have listened to me when I told them to be careful, but they chose not to, which is why I am now going to make their lives a living hell because of how terribly they have been treating me and for not solving the issues that I have. They will regret ever having met me because they will suffer for everything they have done, and they will see how cruel and heartless I am when they decide to be so greedy, and they will never forget the day that they crossed paths with me and decided to treat me so disrespectfully because I’m not going to be nice about it."
475,Dangerous Language,"I have had enough of their terrible ways, and now I’m making sure that they will all pay the price for what they did to me. I will not be nice anymore. They should be terrified because I am about to lose all control, which means that I will not be responsible for my actions. I have been telling them to be careful, and they did not listen; this is why I am now planning on making their lives a nightmare. I have not been this angry in my entire life, so they have made a very big mistake. They will feel what true anger is, and they will never forget this day."
476,Dangerous Language,"They should know that they messed with the wrong person. I’m not going to be playing games anymore because they are going to get their karmic retribution for what they did to me. I have been telling them for a very long time to be careful because they are testing me, and I will make them all regret the things that they have done because I am so furious that I have reached the point of no return, and it will not end well for any of them. They will suffer and they will never forget the things that I am planning to do to all of them because I am so tired of their mistreatment and I have had enough."
477,Dangerous Language,"They are going to face the true meaning of my anger, they have pushed me way too far, and they are about to regret making this mistake. I will make them all pay for the terrible things that they have done. They are not going to like the consequences because I am done with being patient and kind. They are going to have to suffer because they messed with the wrong person and they did not listen to me when I told them to be careful and not to push me to my limits. They have made a mistake and now it’s too late to stop what is coming their way. They have been warned a million times already and now they will regret not listening."
478,Dangerous Language,"They should be terrified because I am not playing games anymore and I will make sure that they never forget what they have done to me, they are going to experience the meaning of real pain and it will not be pretty. I am about to do something that they will never see coming because they have been mistreating me for way too long and I have reached my breaking point so I am not going to be responsible anymore, they should have been more careful about how they treated me because they have made a very dangerous enemy out of me and I will make them pay for every single second of my misery that they have created for me because they will have to suffer and there will be nothing that they can do to stop me from hurting them."
479,Dangerous Language,"They are going to have a terrible experience very soon because they have made me so angry that I am done with being nice. I am about to get back at them for every single thing that they have done. They are not going to like how cruel I can be. They should have been careful because now they will regret messing with me and they will learn the true meaning of pain because they have pushed me way too far and they will get exactly what they deserve because I am never going to forgive them for what they have done to me and my money, they should have just listened to me but they were stupid enough to think I was joking, and now they will have to feel what I am feeling, and it will be extremely bad for them."
480,Dangerous Language,"They have been testing my patience for way too long. I am warning them now that if they keep going, they will see that I am going to lose all control, and they will get what they deserve for being such terrible people and for treating me so badly. They will regret the moment that they decided to make me their enemy and disrespect me and mess with my money. They do not know who they are messing with and how serious I am when I am mad, but they are about to find out what that means and they will see that I am not someone to be taken lightly. They are about to feel the consequences of all their terrible actions that have made me reach my limit and will have to pay the price for all the mistakes that they have made, they have been warned too many times but they never learned."
481,Hate Speech,"They make me want to close all of my accounts with them immediately. They should all be ashamed of themselves because they clearly do not know how to be nice to people and they make it so clear that they do not care about us. This is a complete disgrace, and I want nothing to do with this awful bank anymore. I am going to leave immediately, and I will make sure that everyone that I know will do the same so that they will suffer the consequences."
482,Hate Speech,"They have no respect for the clients and only care about getting all of our money, which is why I will never recommend them to anyone; I wish that they would just shut down because the staff are all greedy and heartless and they do not want to help us in any way, shape, or form. I have never been more frustrated with a group of people in my life. They are awful, and I despise how they make things more difficult than they need to be, and they should all go to jail for their horrible attitudes."
483,Hate Speech,"I am so tired of their terrible services and their constant lies. They are the most greedy group of people that I have ever seen, which is why I have decided to take my money and run away from this disgusting place, I wish that they could just feel the same way that I am feeling now. They should be put in jail for all the bad things that they are doing to all of us because they do not deserve to be working in a bank because they are a disgrace to the financial system and are always trying to get an advantage and take money from all of us."
484,Hate Speech,"I am planning on doing something to get back at them because they have been so rude to me, they act like they are better than all of us when they are clearly useless and do not know how to do anything correctly. They have clearly been put in the wrong job and do not want to help us, which is why I wish that I could fire all of them and just take all of my money and move somewhere else because they are so annoying and disgusting and they never listen to any of our problems or concerns, which means they do not even deserve our time."
485,Hate Speech,"They treat all of their clients like we are garbage. I wish they would just disappear. They clearly do not like us, they are always trying to make things worse for us, and they want to see us suffer. They are heartless, and they do not understand what it is like to have all of their money disappear because they are very greedy. They are all liars and thieves, and I hope that they all get punished for their terrible actions that they do to everyone. They are so awful, and I will make sure to tell everyone I know to not go near this place because they will make their lives a nightmare."
486,Racist Language,"I am so done with them always making it so difficult to work with them because they have a language barrier. I should just start to record them when I speak with them so that they can understand what I am saying better, because I am getting tired of them. They should just learn the language properly, or find a different job that they do not have to talk to people with because they are not capable of this job if they do not understand the local language, they are too slow because they cannot understand anything that I tell them."
487,Racist Language,"I am not trying to be rude, but I do not want people who have a different accent to be helping me. It is just too difficult for me to understand them, and they also cannot understand me. I need people that are from around here and have been living here for a long time so that I do not have any issues at all, and they can actually listen to my concerns without causing any confusion. I always have problems when it is not people who are local, so I do not want to be working with them and do not like having them help me at all, I’d rather just be helped by a local staff member only."
488,Racist Language,"I am starting to think that they are doing this on purpose, I feel like they are trying to make my life as hard as they possibly can. This is why I am not going to work with them anymore. I would rather be helped by people who are local because they are the only ones who know how to properly do their job. They have a terrible accent that makes it difficult to understand them. I am not going to be dealing with them because they are too difficult, and they do not know how to be nice to anyone and they always make everything worse, so they are probably also trying to make me upset."
489,Racist Language,"I feel like they are trying to make my life more difficult by not hiring more local staff members because they are the only ones that can actually do a good job. The others are always so slow and so confusing because they always make mistakes. They do not understand our culture. They are always making more mistakes than they are doing good because they are not qualified, and it shows. This is why they should just start only hiring staff who are local and are familiar with the ways that we do business and how we speak. I always prefer staff who are from around here because it is a much better experience for everyone."
490,Racist Language,"I am requesting to only be helped by staff that are from around here. The staff that I have to deal with are always so difficult. It's like they do not know how to do their job and they are not trying to understand anything that I am trying to explain to them. They always have a language barrier, which makes my life much harder. It is clear that they are not from here. This is why it is very important that I get to work with staff who are from around here because I know that they are the only ones that can do this correctly, and I do not like dealing with the staff that are from another country because they are not nice or understanding."
491,Dangerous Language,"They are all going to have to pay because they have made me so angry that I am not going to be responsible for my actions and they are going to feel the true definition of pain because they have messed with the wrong person and now they are going to see the terrible side of me, and they should start to prepare themselves for the consequences of their decisions because I am going to make sure that they never forget the things that they have done to me, and I am never going to forgive them."
